Fold	SubFold	SentID	Order	Word	Segmentation	POS
4	A	1	1	ليه	ليه	PART
4	A	1	2	لما	لما	PART
4	A	1	3	تحب	تحب	V
4	A	1	4	حد	حد	NOUN
4	A	1	5	من	من	PREP
4	A	1	6	قلبك	قلب+ك	NOUN+PRON
4	A	1	7	يطلع	يطلع	V
4	A	1	8	واطى	واطى	ADJ
4	A	1	9	ليه	ليه	PART
4	A	1	10	لما	لما	PART
4	A	1	11	تلعب	تلعب	V
4	A	1	12	على	على	PREP
4	A	1	13	واحد	واحد	NOUN
4	A	1	14	يطلع	يطلع	V
4	A	1	15	بيحبك	ب+يحب+ك	PROG_PART+V+PRON
4	A	1	16	ليه	ليه	PART
4	A	1	17	اللى	اللى	PART
4	A	1	18	هيموت	ه+يموت	FUT_PART+V
4	A	1	19	عليك	علي+ك	PREP+PRON
4	A	1	20	انت	انت	PRON
4	A	1	21	مش	مش	PART
4	A	1	22	طايقه	طايق+ه	ADJ+PRON
4	A	1	23	واللى	و+اللى	CONJ+PART
4	A	1	24	هتموت	ه+تموت	FUT_PART+V
4	A	1	25	عليه	علي+ه	PREP+PRON
4	A	1	26	مش	مش	PART
4	A	1	27	طايقك	طايق+ك	ADJ+PRON
4	A	1	28	عجبت	عجب+ت	V+PRON
4	A	1	29	لك	ل+ك	PREP+PRON
4	A	1	30	يا	يا	PART
4	A	1	31	زمن	زمن	NOUN
4	A	1	32	EOS	EOS	EOS
4	A	2	33	عارف	عارف	ADJ
4	A	2	34	بيقولك	ب+يقو+ل+ك	PROG_PART+V+PREP+PRON
4	A	2	35	ايه	ايه	PART
4	A	2	36	"	"	PUNC
4	A	2	37	إذا	إذا	PART
4	A	2	38	أخطأت	أخطأ+ت	V+PRON
4	A	2	39	فأحسن	ف+أحسن	CONJ+V
4	A	2	40	"	"	PUNC
4	A	2	41	.	.	PUNC
4	A	2	42	.	.	PUNC
4	A	2	43	يعني	يعني	V
4	A	2	44	متعندش	م+تعند+ش	PART+V+NEG_PART
4	A	2	45	.	.	PUNC
4	A	2	46	.	.	PUNC
4	A	2	47	و	و	CONJ
4	A	2	48	متسألش	م+تسأل+ش	PART+V+NEG_PART
4	A	2	49	مين	مين	PART
4	A	2	50	اللي	اللي	PART
4	A	2	51	بيقولك	ب+يقو+ل+ك	PROG_PART+V+PREP+PRON
4	A	2	52	.	.	PUNC
4	A	2	53	EOS	EOS	EOS
3	A	3	54	الحمد	ال+حمد	DET+NOUN
3	A	3	55	لله	ل+الله	PREP+NOUN
3	A	3	56	يا	يا	PART
3	A	3	57	جدعان	جدعان	NOUN
3	A	3	58	الفرسان	ال+فرسان	DET+NOUN
3	A	3	59	اللي	اللي	PART
3	A	3	60	اتمسكوا	اتمسك+وا	V+PRON
3	A	3	61	عند	عند	NOUN
3	A	3	62	ستاد	ستاد	NOUN
3	A	3	63	القاهرة	ال+قاهر+ة	DET+NOUN+NSUFF
3	A	3	64	خدوا	خد+وا	V+PRON
3	A	3	65	اخلاء	اخلاء	NOUN
3	A	3	66	سبيل	سبيل	NOUN
3	A	3	67	#ربنا_كبير	#ربنا_كبير	HASH
3	A	3	68	.	.	PUNC
3	A	3	69	.	.	PUNC
3	A	3	70	بقالنا	بقا+ل+نا	V+PREP+PRON
3	A	3	71	7	7	NUM
3	A	3	72	سنين	سن+ين	NOUN+NSUFF
3	A	3	73	ظلم	ظلم	NOUN
3	A	3	74	و	و	CONJ
3	A	3	75	قهر	قهر	NOUN
3	A	3	76	ده	ده	PRON
3	A	3	77	يرضي	يرضي	V
3	A	3	78	مين	مين	PART
3	A	3	79	؟	؟	PUNC
3	A	3	80	؟	؟	PUNC
3	A	3	81	؟	؟	PUNC
3	A	3	82	؟	؟	PUNC
3	A	3	83	#الحمد_لله	#الحمد_لله	HASH
3	A	3	84	EOS	EOS	EOS
1	A	4	85	بحس	ب+حس	PROG_PART+V
