Fold	SubFold	SentID	Order	Word	Segmentation	POS
2	B	1	1	@tagimlm77	@tagimlm77	MENTION
2	B	1	2	@444Tf	@444Tf	MENTION
2	B	1	3	هو	هو	PRON
2	B	1	4	ثعلب	ثعلب	NOUN
2	B	1	5	مكار	مكار	ADJ
2	B	1	6	بعد	بعد	NOUN
2	B	1	7	شوي	شوي	ADJ
2	B	1	8	بيقولها	ب+يقول+ها	PROG_PART+V+PRON
2	B	1	9	اتحداك	اتحدا+ك	V+PRON
2	B	1	10	تسوين	تسو+ين	V+PRON
2	B	1	11	احلا	احلا	ADJ
2	B	1	12	منه	من+ه	PREP+PRON
2	B	1	13	عشان	عشان	PART
2	B	1	14	تسوي	تسوي	V
2	B	1	15	?	?	PUNC
2	B	1	16	?	?	PUNC
2	B	1	17	?	?	PUNC
2	B	1	18	?	?	PUNC
2	B	1	19	EOS	EOS	EOS
3	B	2	1	صدز	صدز	NOUN
3	B	2	2	لاقال	لا+قال	PART+V
3	B	2	3	ان	ان	PART
3	B	2	4	ريحة	ريح+ة	NOUN+NSUFF
3	B	2	5	العود	ال+عود	DET+NOUN
3	B	2	6	تنعنش	تنعنش	V
3	B	2	7	وياهي	و+يا+هي	CONJ+PART+PRON
3	B	2	8	تخلي	تخلي	V
3	B	2	9	البال	ال+بال	DET+NOUN
3	B	2	10	رايق	رايق	ADJ
3	B	2	11	رجعت	رجع+ت	V+PRON
3	B	2	12	من	من	PREP
3	B	2	13	الجامعه	ال+جامع+ه	DET+NOUN+NSUFF
3	B	2	14	والقى	و+القى	CONJ+V
3	B	2	15	اميمتي	اميم+ت+ي	NOUN+NSUFF+PRON
3	B	2	16	مبخرة	مبخر+ة	ADJ+PRON
3	B	2	17	البيت	ال+بيت	DET+NOUN
3	B	2	18	.	.	PUNC
3	B	2	19	<	<	PUNC
3	B	2	20	<	<	PUNC
3	B	2	21	اهل	اهل	NOUN
3	B	2	22	الجنون	ال+جنون	DET+NOUN
3	B	2	23	لازم	لازم	ADJ
3	B	2	24	العود	ال+عود	DET+NOUN
3	B	2	25	مشعلل	مشعلل	ADJ
3	B	2	26	عندهم	عند+هم	NOUN+PRON
3	B	2	27	?	?	PUNC
3	B	2	28	?	?	PUNC
3	B	2	29	EOS	EOS	EOS
1	B	3	1	لا	لا	PART
